year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,32,68400,disability,With Disability,0.599181505393599,0.5391320951444805,0.6592309156427176,2
2018,32,68400,disability,Without Disability,0.8289290737289106,0.8083982391217596,0.8494599083360616,2
2018,33,45140,all,All,0.8136856228712973,0.7914538367759851,0.8359174089666095,1
2018,33,45140,disability,With Disability,0.39592316738533906,0.31090260905410916,0.48094372571656896,1
2018,33,45140,disability,Without Disability,0.862861361696237,0.842766445679115,0.8829562777133589,1
2018,33,50260,all,All,0.848405776379754,0.8293449810173152,0.8674665717421928,2
2018,33,50260,disability,With Disability,0.4903649965994106,0.39415225982216606,0.5865777333766551,2
2018,33,50260,disability,Without Disability,0.8790477483944821,0.8623601427100441,0.89573535407892,2
2018,34,13690,all,All,0.7729532021991188,0.752412569012528,0.7934938353857096,2
2018,34,13690,disability,With Disability,0.44176641170197944,0.34406099713761207,0.5394718262663468,2
2018,34,13690,disability,Without Disability,0.7911790949840599,0.7704038299289628,0.811954360039157,2
2018,34,21000,all,All,0.8041821272551134,0.7869911322013865,0.8213731223088403,3
2018,34,21000,disability,With Disability,0.3625621890547264,0.27299428573128015,0.4521300923781726,3
2018,34,21000,disability,Without Disability,0.8317635406754316,0.8146378273425939,0.8488892540082692,3
2018,34,36000,all,All,0.7880859316695021,0.7760508761060779,0.8001209872329264,3
2018,34,36000,disability,With Disability,0.3734470754229797,0.31417560117277366,0.4327185496731858,3
2018,34,36000,disability,Without Disability,0.8141261613382844,0.8034350743418626,0.8248172483347063,3
2018,34,51000,all,All,0.7264953570008127,0.7075123492102885,0.7454783647913369,3
2018,34,51000,disability,With Disability,0.4139872573714624,0.36530817428365975,0.4626663404592651,3
2018,34,51000,disability,Without Disability,0.7677858261550509,0.7486181252276469,0.7869535270824548,3
2018,34,57000,all,All,0.7250334808184576,0.7048401832006018,0.7452267784363135,2
2018,34,57000,disability,With Disability,0.24911158493248045,0.1766232492986606,0.32159992056630027,2
2018,34,57000,disability,Without Disability,0.7488740542946151,0.728100450532357,0.7696476580568732,2
2018,34,74000,all,All,0.7250385693487755,0.701236548407735,0.7488405902898161,2
2018,34,74000,disability,With Disability,0.2281353135313531,0.16200484699837625,0.29426578006433,2
2018,34,74000,disability,Without Disability,0.78354747042965045,0.7602078322490524,0.8068871086102485,2
2018,35,02000,all,All,0.7646486879697841,0.7528510658957015,0.7764463100438668,2
2018,35,02000,disability,With Disability,0.3764353402774938,0.33878313151790823,0.4140875490370795,2
2018,35,02000,disability,Without Disability,0.8084141330478716,0.7970249552343976,0.8198033108613455,2
2018,35,39380,all,All,0.7351829771757921,0.704802188912237,0.7655637654393471,1
2018,35,39380,disability,With Disability,0.2518303624755225,0.1705387593006994,0.3331219656503456,1
2018,35,39380,disability,Without Disability,0.794534448481901,0.7655396638250845,0.8235292331387175,1
2018,35,63460,all,All,0.7206523662400569,0.6986513568193993,0.7426533756607145,2
2018,35,63460,disability,With Disability,0.3645609867709011,0.27440974036643645,0.45471223317536585,2
2018,35,63460,disability,Without Disability,0.7601783595010833,0.740096888523778,0.7802598304783885,2
2018,35,70500,all,All,0.7914925574319771,0.7731843764809715,0.8098007383829827,2
2018,35,70500,disability,With Disability,0.40437030075187974,0.32527395251446345,0.483466648989296,2
2018,35,70500,disability,Without Disability,0.8260513896171997,0.8086071320377572,0.8434956471966422,2
2018,36,01000,all,All,0.8085669227247291,0.7837174143571669,0.8334164310922912,3
2018,36,01000,disability,With Disability,0.3566707466340269,0.2744216591852028,0.438919834082851,3
2018,36,01000,disability,Without Disability,0.860966817110903,0.8375826515531706,0.8843509826686353,3
2018,36,11000,all,All,0.7123258138486565,0.6939724239204228,0.7306792037768901,2
2018,36,11000,disability,With Disability,0.2981420135388161,0.25219829141257866,0.3440857356650535,2
2018,36,11000,disability,Without Disability,0.7775635208711433,0.7598065875734952,0.7953204541687915,2
2018,36,50617,all,All,0.8109280368146836,0.7939091971994912,0.8279468764298761,2
2018,36,50617,disability,With Disability,0.4209296893249241,0.33395079751425993,0.5079085811355882,2
2018,36,50617,disability,Without Disability,0.8343308896707364,0.8188811548271006,0.8497806245143723,2
2018,36,51000,all,All,0.7781843736955486,0.7754159122257809,0.7809528351653163,1
2018,36,51000,disability,With Disability,0.3803048715011826,0.3679208504093848,0.3926888925929804,1
2018,36,51000,disability,Without Disability,0.8035725715241983,0.8008738551686829,0.8062712878797136,1
2018,36,63000,all,All,0.7002636121006187,0.6841951778840184,0.716332046317219,3
2018,36,63000,disability,With Disability,0.31153121078195806,0.2713888322625888,0.3516735893013273,3
2018,36,63000,disability,Without Disability,0.7798340043138642,0.7615435151059968,0.7981244935217315,3
2018,36,73000,all,All,0.6839915633042435,0.6620814759157665,0.7059016506927205,3
2018,36,73000,disability,With Disability,0.29831770900218313,0.2442919566579047,0.35234346134646155,3
2018,36,73000,disability,Without Disability,0.75241501868222,0.7325506839978541,0.772279353366586,3
2018,36,84000,all,All,0.778565460978966,0.758714137030076,0.798416784927856,2
2018,36,84000,disability,With Disability,0.4443415447305056,0.3487321059456678,0.5399509835153435,2
2018,36,84000,disability,Without Disability,0.8023107391470267,0.7825297379947631,0.8220917402992902,2
2018,37,02140,all,All,0.8278665743829393,0.8096309943794529,0.8461021543864258,2
2018,37,02140,disability,With Disability,0.39323478287984576,0.305625331588088,0.4808442341716035,2
2018,37,02140,disability,Without Disability,0.86294585809158,0.8463196929109776,0.8795720232721823,2
2018,37,10740,all,All,0.8381331032470131,0.8279206818600194,0.8483455246340067,2
2018,37,10740,disability,With Disability,0.5519066572167795,0.468422561512065,0.6353907529214938,2
2018,37,10740,disability,Without Disability,0.8502258461757869,0.8409099351394079,0.8595417572121659,2
2018,37,12000,all,All,0.8197273148536957,0.8132868222531393,0.826167807454252,2
2018,37,12000,disability,With Disability,0.4500893323185221,0.41222641994214376,0.48795224469490034,2
2018,37,12000,disability,Without Disability,0.8409481877821472,0.8346002375453202,0.8472961380189742,2
2018,37,14100,all,All,0.8225136074143011,0.8044116668135346,0.8406155480150677,2
2018,37,14100,disability,With Disability,0.49644119948219967,0.42449605644298694,0.5683863425214124,2
2018,37,14100,disability,Without Disability,0.8426432560123053,0.8254365140057898,0.8598499980188208,2
2018,37,19000,all,All,0.8270248690582392,0.8145318896925169,0.8395178484239616,3
2018,37,19000,disability,With Disability,0.4487085487141622,0.38047548418289934,0.5169416132454251,3
2018,37,19000,disability,Without Disability,0.8524754948373404,0.8402407490642125,0.8647102406104683,3
2018,37,22920,all,All,0.74931340860928,0.7367440913142799,0.7618827259042801,1
2018,37,22920,disability,With Disability,0.4329739637051696,0.3978594237638751,0.4680885036464641,1
2018,37,22920,disability,Without Disability,0.8003498091189395,0.7877691834262965,0.8129304348115824,1
2018,37,25580,all,All,0.7785593223064998,0.7571897998274547,0.7999288447855449,2
2018,37,25580,disability,With Disability,0.4062645661329251,0.3349677767011102,0.4775613555647401,2
2018,37,25580,disability,Without Disability,0.8189691130094998,0.7964335409616757,0.8415046850573239,2
2018,37,28000,all,All,0.7902949272959117,0.7770602389549607,0.8035296156368626,2
2018,37,28000,disability,With Disability,0.39136565921162586,0.34396405998092405,0.43876725844232767,2
2018,37,28000,disability,Without Disability,0.8195647611913599,0.8059576807180471,0.8331718416646727,2
2018,37,28080,all,All,0.7804159792781263,0.7613794245309532,0.7994525340252995,2
2018,37,28080,disability,With Disability,0.4203935599284436,0.35055090318199644,0.4902362166748908,2
2018,37,28080,disability,Without Disability,0.8181229773462783,0.7973234550042825,0.838922499688274,2
2018,37,31400,all,All,0.7916656090541642,0.7733943961458575,0.8099368219624709,2
2018,37,31400,disability,With Disability,0.31132930259617636,0.24623919896652868,0.376419406225824,2
2018,37,31400,disability,Without Disability,0.8366582368487945,0.8197242628253527,0.8535922108722362,2
2018,37,55000,all,All,0.8476865988225305,0.8409106604327129,0.8544625372123481,3
2018,37,55000,disability,With Disability,0.5197008886239424,0.4742300125507189,0.5651717646971659,3
2018,37,55000,disability,Without Disability,0.8680436651692256,0.8607414697465068,0.8753458605919444,3
2018,37,74440,all,All,0.7799280830799808,0.758348342066172,0.8015078240937897,2
2018,37,74440,disability,With Disability,0.35364804876583233,0.27082226248590907,0.4364738350457556,2
2018,37,74440,disability,Without Disability,0.8296922328602404,0.809580724192333,0.8498037415281479,2
2018,37,75000,all,All,0.7739374960360711,0.7567705690604385,0.7911044230117037,3
2018,37,75000,disability,With Disability,0.3541908703426154,0.29113190928456173,0.4172498314006691,3
2018,37,75000,disability,Without Disability,0.8026689280480906,0.7853506143519254,0.8199872417442559,3
2018,38,25700,all,All,0.8942123690589252,0.8772867033593817,0.9111380347584688,2
2018,38,25700,disability,With Disability,0.6134848110644603,0.49583150944886223,0.7311381126800583,2
2018,38,25700,disability,Without Disability,0.9113056031760354,0.8958050975529022,0.9268061087991686,2
2018,39,01000,all,All,0.7435332844791956,0.7252034600153993,0.761863108942992,3
2018,39,01000,disability,With Disability,0.33931554509020645,0.28861352674626983,0.39001756343414307,3
2018,39,01000,disability,Without Disability,0.8044514519100386,0.7859426701932071,0.8229602336268702,3
2018,39,15000,all,All,0.7873982429650266,0.7715894480666072,0.8032070378634459,2
2018,39,15000,disability,With Disability,0.4023778047922061,0.35310134554092465,0.4516542640434875,2
2018,39,15000,disability,Without Disability,0.8313227518208045,0.8164204123636678,0.8462250912779412,2
2018,39,16000,all,All,0.6734283218082815,0.6620540701367825,0.6848025734797805,3
2018,39,16000,disability,With Disability,0.34857719742248994,0.3129789888538432,0.3841754059911367,3
2018,39,16000,disability,Without Disability,0.7382077622329837,0.725378247131432,0.7510372773345354,3
2018,39,18000,all,All,0.8071440947499903,0.7999841782117832,0.8143040112881973,2
2018,39,18000,disability,With Disability,0.4531661916495812,0.42538559832433304,0.4809467849748294,2
2018,39,18000,disability,Without Disability,0.8434356827326966,0.8363018196890056,0.8505695457763877,2
2018,39,21000,all,All,0.7097099143128569,0.6875554967120514,0.7318643319136624,3
2018,39,21000,disability,With Disability,0.3481537596134225,0.2953817303787839,0.400925788848061,3
2018,39,21000,disability,Without Disability,0.7691574052304395,0.748689525796647,0.789625284664232,3
2018,39,61000,all,All,0.8186961661881439,0.8032790360346754,0.8341132963416124,3
2018,39,61000,disability,With Disability,0.4625240230621397,0.3933616984590301,0.5316863476652492,3
2018,39,61000,disability,Without Disability,0.8577720510718051,0.8417780051379309,0.8737660970056793,3
2018,39,77000,all,All,0.7373259287968748,0.7215593234116929,0.7530925341820566,3
2018,39,77000,disability,With Disability,0.35750879662725144,0.3168214455454894,0.39819614770901346,3
2018,39,77000,disability,Without Disability,0.8006142300614751,0.7847974186283113,0.816431041494639,3
2018,40,09050,all,All,0.8167700068367153,0.8039589715443481,0.8295810421290825,2
2018,40,09050,disability,With Disability,0.49796085582857985,0.4458565259679504,0.5500651856892094,2
2018,40,09050,disability,Without Disability,0.8436939696604103,0.830501730349438,0.8568862089713827,2
2018,40,23200,all,All,0.8347347347347348,0.8104954843950881,0.8589739850743815,2
2018,40,23200,disability,With Disability,0.4461657629744384,0.34190319792535345,0.5504283280235234,2
2018,40,23200,disability,Without Disability,0.8615763283214726,0.8377648822365331,0.885387774406412,2
2018,40,41850,all,All,0.7528843920192035,0.7188118083772763,0.7869569756611308,1
2018,40,41850,disability,With Disability,0.4068313953488372,0.31048348852675217,0.5031793021709222,1
2018,40,41850,disability,Without Disability,0.8276056868468129,0.7987180528338403,0.8564933208597855,1
2018,40,52500,all,All,0.8206213366790884,0.8054105240829782,0.8358321492751987,2
2018,40,52500,disability,With Disability,0.5523491748579674,0.4745831012052295,0.6301152485107053,2
2018,40,52500,disability,Without Disability,0.8517024855557761,0.8369324428645295,0.8664725282470227,2
2018,40,55000,all,All,0.7805063795904802,0.7702473667613697,0.7907653924195907,3
2018,40,55000,disability,With Disability,0.4095906815944639,0.3745657174319263,0.44461564575700147,3
2018,40,55000,disability,Without Disability,0.8217041971135229,0.8111806208820901,0.8322277733449558,3
2018,40,75000,all,All,0.7982808146129619,0.7881063646292213,0.8084552645967024,3
2018,40,75000,disability,With Disability,0.4621421151837677,0.426470835345518,0.4978133950220174,3
2018,40,75000,disability,Without Disability,0.8379793483885599,0.8280461651755899,0.8479125316015299,3
2018,41,05350,all,All,0.8198469789493241,0.8078824155602535,0.8318115423383947,2
2018,41,05350,disability,With Disability,0.5177632405917526,0.4559739843355617,0.5795524968479435,2
2018,41,05350,disability,Without Disability,0.8447808959299221,0.8325052637904501,0.8570565280693941,2
2018,41,05800,all,All,0.8035244570295094,0.7868298624325607,0.820219051626458,2
2018,41,05800,disability,With Disability,0.4833641404805915,0.3934759920796226,0.5732522888815604,2
2018,41,05800,disability,Without Disability,0.8305200978787738,0.814344803485055,0.8466953922724926,2
2018,41,23850,all,All,0.7752275721311885,0.7558851756615137,0.7945699686008634,2
2018,41,23850,disability,With Disability,0.42792135157221056,0.36360800441762536,0.49223469872679576,2
2018,41,23850,disability,Without Disability,0.8206095976553457,0.8053800937569078,0.8358391015537836,2
2018,41,31250,all,All,0.7931654183925069,0.7745868019028925,0.8117440348821212,2
2018,41,31250,disability,With Disability,0.42821551773082056,0.3567822913951019,0.4996487440665392,2
2018,41,31250,disability,Without Disability,0.8348458103174641,0.8176930256840939,0.8519985949508343,2
2018,41,34100,all,All,0.8105590624051797,0.7917867693398541,0.8293313554705053,1
2018,41,34100,disability,With Disability,0.44197863941634874,0.3290055100000222,0.5549517688326753,1
2018,41,34100,disability,Without Disability,0.8321995242878703,0.8160889036247223,0.8483101449510182,1
2018,41,47000,all,All,0.7630922007608953,0.7407897679560566,0.7853946335657341,2
2018,41,47000,disability,With Disability,0.34100275147900266,0.25326178073737543,0.4287437222206299,2
2018,41,47000,disability,Without Disability,0.814597750807768,0.7931046586696195,0.8360908429459164,2
